Instrument Type,Symbol,ExpiryDate,Underlying Commodity,Strike Price,Option Type,Ex-Basis Delivery Centre,Price Unit,Opening Price,High Price,Low Price,Closing Price,Quantity Traded Today,Measure,No of Trades,Traded Value in Lacs,Open Interest,LastTradedDate
FUTCOM,STEEL,7/20/2021,STEELLONG,0,XX,MANDIGOBINDGARH,RS/MT,0,0,0,43810,0,MT,0,0,180,7/15/2021
FUTCOM,STEEL,8/20/2021,STEELLONG,0,XX,MANDIGOBINDGARH,RS/MT,42900,43700,42800,43150,100,MT,10,43.15,320,7/19/2021
FUTCOM,STEEL,9/20/2021,STEELLONG,0,XX,MANDIGOBINDGARH,RS/MT,0,0,0,44080,0,MT,0,0,20,7/8/2021
FUTCOM,STEEL,10/20/2021,STEELLONG,0,XX,MANDIGOBINDGARH,RS/MT,0,0,0,45010,0,MT,0,0,0,NOTRADE
FUTCOM,TMCFGRNZM,7/20/2021,TURMERIC,0,XX,NIZAMABAD,RS/QUINTAL,7400,7500,7400,7484,30,MT,6,22.45,35,7/19/2021
FUTCOM,TMCFGRNZM,8/20/2021,TURMERIC,0,XX,NIZAMABAD,RS/QUINTAL,7492,7750,7466,7554,2505,MT,418,1890.93,11280,7/19/2021
FUTCOM,TMCFGRNZM,9/20/2021,TURMERIC,0,XX,NIZAMABAD,RS/QUINTAL,7624,7860,7584,7600,240,MT,39,182.95,215,7/19/2021
FUTCOM,TMCFGRNZM,10/20/2021,TURMERIC,0,XX,NIZAMABAD,RS/QUINTAL,0,0,0,7646,0,MT,0,0,0,NOTRADE
FUTCOM,TMCFGRNZM,11/18/2021,TURMERIC,0,XX,NIZAMABAD,RS/QUINTAL,0,0,0,7692,0,MT,0,0,0,NOTRADE
FUTCOM,WHEATFAQ,7/20/2021,WHEATKOTA,0,XX,KOTA,RS/QUINTAL,0,0,0,1778,0,MT,0,0,0,7/9/2021
FUTCOM,WHEATFAQ,8/20/2021,WHEATKOTA,0,XX,KOTA,RS/QUINTAL,0,0,0,1778,0,MT,0,0,0,NOTRADE
FUTCOM,WHEATFAQ,9/20/2021,WHEATKOTA,0,XX,KOTA,RS/QUINTAL,0,0,0,1778,0,MT,0,0,0,NOTRADE
FUTCOM,WHEATFAQ,10/20/2021,WHEATKOTA,0,XX,KOTA,RS/QUINTAL,0,0,0,1778,0,MT,0,0,0,NOTRADE
FUTCOM,WHEATFAQ,11/18/2021,WHEATKOTA,0,XX,KOTA,RS/QUINTAL,0,0,0,1778,0,MT,0,0,0,NOTRADE
FUTIDX,AGRIDEX,7/30/2021,NCDEX AGRIDEX,0,XX,NA,RS/UNIT,1477,1478.75,1469.75,1474.75,16,LOT,16,117.97,8,7/19/2021
